"17394","2983"
"17393","15452"
"17392","12400"
"17391","13224"
"17390","12478"
"17389","13292"
"17388","13292"
"17387","14376"
"17386","13881"
"17385","12472"
"17384","11438"
"17383","9807"
"17382","11383"
"17381","12586"
"17380","14133"
"17379","13349"
"17378","14648"
"17377","14914"
"17376","14389"
"17375","15845"
"17374","13939"
"17373","14872"
"17372","16169"
"17371","14787"
"17370","14401"
"17369","14758"
"17368","14761"
"17367","16407"
"17366","15177"
"17365","16346"
"17364","18473"
"17363","15347"
"17362","16228"
"17361","14996"
"17360","14982"
"17359","16303"
"17358","17077"
"17357","16804"
"17356","16777"
"17355","15572"
"17354","14748"
"17353","16164"
"17352","16158"
"17351","17988"
"17350","16381"
"17349","16339"
"17348","16533"
"17347","15593"
"17346","17047"
"17345","16728"
"17344","17336"
"17343","16690"
"17342","19425"
"17341","15422"
"17340","16124"
"17339","16774"
"17338","17705"
"17337","19190"
"17336","16672"
"17335","18797"
"17334","17893"
"17333","17362"
"17332","16879"
"17331","19046"
"17330","18916"
"17329","17648"
"17328","19271"
"17327","20159"
"17326","22030"
"17325","20611"
"17324","18183"
"17323","18082"
"17322","19071"
"17321","21533"
"17320","19023"
"17319","18674"
"17318","19859"
"17317","20444"
"17316","19838"
"17315","20403"
"17314","19117"
"17313","22387"
"17312","20677"
"17311","23061"
"17310","21989"
"17309","24074"
"17308","25070"
"17307","24267"
"17306","27633"
"17305","34080"
"17304","22845"
"17303","25843"
"17302","26219"
"17301","27891"
"17300","29418"
"17299","23711"
"17298","25968"
"17297","25572"
"17296","25120"
"17295","24162"
"17294","23314"
"17293","23929"
"17292","23986"
"17291","27057"
"17290","25348"
"17289","26835"
"17288","30456"
"17287","28977"
"17286","34772"
"17285","35128"
"17284","36028"
"17283","38994"
"17282","34169"
"17281","34139"
"17280","33970"
"17279","41195"
"17278","44753"
"17277","43099"
"17276","43100"
"17275","51209"
"17274","65063"
"17273","65491"
"17272","86618"
"17271","69422"
"17270","7404"
