"17399","305"
"17398","464"
"17397","447"
"17396","571"
"17395","435"
"17394","498"
"17393","494"
"17392","533"
"17391","413"
"17390","409"
"17389","454"
"17388","572"
"17387","457"
"17386","412"
"17385","372"
"17384","328"
"17383","380"
"17382","424"
"17381","459"
"17380","446"
"17379","425"
"17378","408"
"17377","358"
"17376","403"
"17375","392"
"17374","296"
"17373","345"
"17372","457"
"17371","477"
"17370","310"
"17369","412"
"17368","367"
"17367","266"
"17366","269"
"17365","322"
"17364","346"
"17363","296"
"17362","332"
"17361","304"
"17360","368"
"17359","406"
"17358","451"
"17357","479"
"17356","459"
"17355","347"
"17354","427"
"17353","589"
"17352","415"
"17351","301"
"17350","374"
"17349","240"
"17348","330"
"17347","343"
"17346","369"
"17345","385"
"17344","404"
"17343","487"
"17342","340"
"17341","274"
"17340","301"
"17339","332"
"17338","481"
"17337","455"
"17336","382"
"17335","300"
"17334","335"
"17333","380"
"17332","426"
"17331","353"
"17330","463"
"17329","412"
"17328","263"
"17327","317"
"17326","405"
"17325","421"
"17324","404"
"17323","417"
"17322","467"
"17321","327"
"17320","305"
"17319","363"
"17318","540"
"17317","309"
"17316","257"
"17315","290"
"17314","213"
"17313","236"
"17312","298"
"17311","313"
"17310","290"
"17309","356"
"17308","468"
"17307","492"
"17306","413"
"17305","428"
"17304","350"
"17303","353"
"17302","350"
"17301","391"
"17300","337"
"17299","410"
"17298","295"
"17297","269"
"17296","248"
"17295","240"
"17294","190"
"17293","174"
"17292","200"
"17291","278"
"17290","149"
"17289","243"
"17288","267"
"17287","328"
"17286","392"
"17285","499"
"17284","552"
"17283","550"
"17282","364"
"17281","101"
"17280","103"
"17279","7"
